[ 2024-07-19 02:57:58,296  21 COMPONENTS - INFO - Initializing our llm model]
[ 2024-07-19 02:57:58,338  25 COMPONENTS - INFO - Initialized our llm model]
[ 2024-07-19 02:57:58,338  26 COMPONENTS - INFO - Loading FAISS DB and getting retriever from it]
[ 2024-07-19 02:57:58,351  97 faiss.loader - INFO - Loading faiss.]
[ 2024-07-19 02:57:58,361  99 faiss.loader - INFO - Successfully loaded faiss.]
[ 2024-07-19 02:57:58,368  32 COMPONENTS - INFO - Loaded FAISS DB and got retriever from it]
[ 2024-07-19 02:57:58,368  33 COMPONENTS - INFO - Creating history aware retriever]
[ 2024-07-19 02:57:58,368  53 COMPONENTS - INFO - Created history aware retriever]
[ 2024-07-19 02:57:58,368  54 COMPONENTS - INFO - Creating Prompt, Question_Answer_Chain, Rag_Chain]
[ 2024-07-19 02:57:58,369  77 COMPONENTS - INFO - Created Prompt, Question_Answer_Chain, Rag_Chain]
[ 2024-07-19 02:57:58,369  78 COMPONENTS - INFO - Initializing RunnableWithMessageHistory]
[ 2024-07-19 02:57:58,369  88 COMPONENTS - INFO - Initialized RunnableWithMessageHistory]
